4.9957 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x080343F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.9958 	EXP 	window1: recordFrameIntervals = False
5.1606 	EXP 	window1: recordFrameIntervals = True
5.3446 	EXP 	window1: recordFrameIntervals = False
5.4970 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
5.5109 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0. ,  0.4]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
5.5396 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([-0.4 , -0.05]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
5.5577 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.4 , -0.05]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
5.5682 	EXP 	Created image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image=u'avatar_1.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-0.4 , -0.06]), size=array([ 0.3,  0.3]), texRes=128, units='height', win=Window(...))
5.5776 	EXP 	Created image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image=u'avatar_2.png', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([ 0.4 , -0.06]), size=array([ 0.3,  0.3]), texRes=128, units='height', win=Window(...))
5.5811 	EXP 	window1: blendMode = 'avg'
5.5939 	EXP 	text: autoDraw = True
5.5950 	EXP 	window1: blendMode = 'avg'
5.6107 	EXP 	window1: blendMode = 'avg'
5.6286 	EXP 	window1: blendMode = 'avg'
5.6451 	EXP 	window1: blendMode = 'avg'
5.6616 	EXP 	window1: blendMode = 'avg'
5.6781 	EXP 	window1: blendMode = 'avg'
5.6951 	EXP 	window1: blendMode = 'avg'
5.7117 	EXP 	window1: blendMode = 'avg'
5.7284 	EXP 	window1: blendMode = 'avg'
5.7451 	EXP 	window1: blendMode = 'avg'
5.7615 	EXP 	window1: blendMode = 'avg'
5.7783 	EXP 	window1: blendMode = 'avg'
5.7951 	EXP 	window1: blendMode = 'avg'
5.8121 	EXP 	window1: blendMode = 'avg'
5.8288 	EXP 	window1: blendMode = 'avg'
5.8454 	EXP 	window1: blendMode = 'avg'
5.8621 	EXP 	window1: blendMode = 'avg'
5.8786 	EXP 	window1: blendMode = 'avg'
5.8954 	EXP 	window1: blendMode = 'avg'
5.9118 	EXP 	window1: blendMode = 'avg'
5.9291 	EXP 	window1: blendMode = 'avg'
5.9454 	EXP 	window1: blendMode = 'avg'
5.9621 	EXP 	window1: blendMode = 'avg'
5.9787 	EXP 	window1: blendMode = 'avg'
5.9955 	EXP 	window1: blendMode = 'avg'
6.0121 	EXP 	window1: blendMode = 'avg'
6.0289 	EXP 	window1: blendMode = 'avg'
6.0457 	EXP 	window1: blendMode = 'avg'
6.0622 	EXP 	window1: blendMode = 'avg'
6.0789 	EXP 	window1: blendMode = 'avg'
6.0954 	EXP 	window1: blendMode = 'avg'
6.1122 	EXP 	window1: blendMode = 'avg'
6.1289 	EXP 	window1: blendMode = 'avg'
6.1455 	EXP 	window1: blendMode = 'avg'
6.1622 	EXP 	window1: blendMode = 'avg'
6.1789 	EXP 	window1: blendMode = 'avg'
6.1956 	EXP 	window1: blendMode = 'avg'
6.2122 	EXP 	window1: blendMode = 'avg'
6.2288 	EXP 	window1: blendMode = 'avg'
6.2455 	EXP 	window1: blendMode = 'avg'
6.2622 	EXP 	window1: blendMode = 'avg'
6.2789 	EXP 	window1: blendMode = 'avg'
