Subject,Block,bTrial,nTrial,Choice,Choice2,Amount,GambleAdviceNum,GambleAdviceType,Response Key (advisor) ,Response Time,Reponse key (safe or gamble),Choice,Response time,Age,Gender
101,1,1,1,IA75_L15.bmp,IA75_L15.bmp,IA75.bmp,1,risk,left,0.616258605,right,1,0.390852478,19,1
101,1,2,2,IA25_G20.bmp,IA25_G20.bmp,IA25.bmp,0,safe,,0.3969433,right,1,0.348775718,19,1
101,1,3,3,IA100_L20.bmp,IA100_L20.bmp,IA100.bmp,1,risk,,0.427579472,right,1,0.337997724,19,1
101,1,4,4,IA75_L45.bmp,IA75_L45.bmp,IA75.bmp,0,safe,,1.216781007,left,0,0.957658631,19,1
101,1,5,5,IA20_10_G95p.bmp,IA20_10_G95p.bmp,IA20.bmp,1,risk,,0.587758245,left,0,0.283056978,19,1
101,1,6,6,IA25_L5.bmp,IA25_L5.bmp,IA25.bmp,0,safe,,0.681856549,left,0,0.324175884,19,1
101,1,7,7,IA100_G60.bmp,IA100_G60.bmp,IA100.bmp,0,safe,,0.762976903,right,1,0.491181544,19,1
101,1,8,8,IA75_G45.bmp,IA75_G45.bmp,IA75.bmp,0,safe,,0.985270265,left,0,0.601517183,19,1
101,1,9,9,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,0.951599827,left,0,0.375972547,19,1
101,1,10,10,IA100_G40.bmp,IA100_G40.bmp,IA100.bmp,1,risk,,0.718788516,left,0,0.297109812,19,1
101,1,11,11,IA50_L30.bmp,IA50_L30.bmp,IA50.bmp,1,risk,,0.759201286,left,0,0.271394231,19,1
101,1,12,12,IA25_G10.bmp,IA25_G10.bmp,IA25.bmp,1,risk,,0.974195649,left,0,0.260438549,19,1
101,1,13,13,IA75_L60.bmp,IA75_L60.bmp,IA75.bmp,1,risk,,0.378526295,left,0,0.291781734,19,1
101,1,14,14,IA75_G60.bmp,IA75_G60.bmp,IA75.bmp,1,risk,,0.48185872,right,1,0.254142864,19,1
101,1,15,15,IA50_L40.bmp,IA50_L40.bmp,IA50.bmp,0,safe,,0.756237764,left,0,0.251714712,19,1
101,1,16,16,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.801798852,right,1,1.225156757,19,1
101,1,17,17,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,,0.967254626,left,0,0.408201246,19,1
101,1,18,18,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,0.959008129,left,0,0.391383437,19,1
101,1,19,19,IA50_G30.bmp,IA50_G30.bmp,IA50.bmp,1,risk,,0.566194486,left,0,0.29561146,19,1
101,1,20,20,IA25_G15.bmp,IA25_G15.bmp,IA25.bmp,1,risk,,0.461690017,left,0,0.250683312,19,1
101,2,1,21,IA50_G20.bmp,IA50_G20.bmp,IA50.bmp,1,risk,right,0.435145539,left,0,0.794137371,19,1
101,2,2,22,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,,1.440228882,left,0,0.354568349,19,1
101,2,3,23,IA110_55_L95p.bmp,IA110_55_L95p.bmp,IA110.bmp,1,risk,,0.328655565,right,1,0.34861896,19,1
101,2,4,24,IA25_L20.bmp,IA25_L20.bmp,IA25.bmp,0,safe,,1.187422186,left,0,0.313136758,19,1
101,2,5,25,IA25_G20.bmp,IA25_G20.bmp,IA25.bmp,0,safe,,0.77594195,left,0,0.230707213,19,1
101,2,6,26,IA75_G45.bmp,IA75_G45.bmp,IA75.bmp,0,safe,,0.308801623,left,0,0.552766469,19,1
101,2,7,27,IA25_L15.bmp,IA25_L15.bmp,IA25.bmp,1,risk,,1.654840021,left,0,0.311949304,19,1
101,2,8,28,IA75_G30.bmp,IA75_G30.bmp,IA75.bmp,1,risk,,1.115189089,left,0,0.316466321,19,1
