Subject,Block,bTrial,nTrial,Choice,Choice2,Amount,GambleAdviceNum,GambleAdviceType,Response Key (advisor) ,Response Time,Reponse key (safe or gamble),Choice,Response time,Age,Gender
101,2,9,29,IA80_40_G95p.bmp,IA80_40_G95p.bmp,IA80.bmp,1,risk,,0.347264773,left,0,0.477806907,19,1
101,2,10,30,IA25_G5.bmp,IA25_G5.bmp,IA25.bmp,0,safe,,0.348609594,left,0,0.245152042,19,1
101,2,11,31,IA25_G15.bmp,IA25_G15.bmp,IA25.bmp,1,risk,,0.771250435,left,0,0.314724414,19,1
101,2,12,32,IA75_G15.bmp,IA75_G15.bmp,IA75.bmp,1,risk,,0.729524992,left,0,0.35585646,19,1
101,2,13,33,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,1.353930674,right,1,0.071129465,19,1
101,2,14,34,IA25_L10.bmp,IA25_L10.bmp,IA25.bmp,1,risk,,0.373926448,left,0,0.615047066,19,1
101,2,15,35,IA100_G80.bmp,IA100_G80.bmp,IA100.bmp,1,risk,,0.869133157,left,0,0.330356927,19,1
101,2,16,36,IA100_G40.bmp,IA100_G40.bmp,IA100.bmp,1,risk,,0.448446957,left,0,0.294865335,19,1
101,2,17,37,IA100_L60.bmp,IA100_L60.bmp,IA100.bmp,0,safe,,0.565655618,left,0,0.254392242,19,1
101,2,18,38,IA100_G60.bmp,IA100_G60.bmp,IA100.bmp,0,safe,,0.388473263,left,0,0.228303422,19,1
101,2,19,39,IA75_L45.bmp,IA75_L45.bmp,IA75.bmp,0,safe,,0.562393215,left,0,0.555116057,19,1
101,2,20,40,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,0.673218685,left,0,1.053517613,19,1
101,3,1,41,IA25_G10.bmp,IA25_G10.bmp,IA25.bmp,1,risk,left,1.1433349,left,0,0.271181495,19,1
101,3,2,42,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,0.534012288,left,0,0.136836437,19,1
101,3,3,43,IA110_55_G95p.bmp,IA110_55_G95p.bmp,IA110.bmp,1,risk,,0.527636927,left,0,1.163071001,19,1
101,3,4,44,IA25_L5.bmp,IA25_L5.bmp,IA25.bmp,0,safe,,1.497157808,right,1,0.410081526,19,1
101,3,5,45,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,,0.944889404,left,0,0.874554863,19,1
101,3,6,46,IA80_40_G95p.bmp,IA80_40_G95p.bmp,IA80.bmp,1,risk,,0.785380939,left,0,0.43342781,19,1
101,3,7,47,IA75_L60.bmp,IA75_L60.bmp,IA75.bmp,1,risk,,0.999508823,left,0,1.063025919,19,1
101,3,8,48,IA50_L30.bmp,IA50_L30.bmp,IA50.bmp,1,risk,,0.725133205,left,0,0.910631547,19,1
101,3,9,49,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,0.333420217,right,1,0.551928493,19,1
101,3,10,50,IA50_G40.bmp,IA50_G40.bmp,IA50.bmp,0,safe,,0.630772233,right,1,0.475814337,19,1
101,3,11,51,IA20_10_L95p.bmp,IA20_10_L95p.bmp,IA20.bmp,0,safe,,0.786613314,right,1,0.225397029,19,1
101,3,12,52,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.871488135,right,1,0.169279945,19,1
101,3,13,53,IA50_G30.bmp,IA50_G30.bmp,IA50.bmp,1,risk,,0.567357402,left,0,0.328660106,19,1
101,3,14,54,IA50_G20.bmp,IA50_G20.bmp,IA50.bmp,1,risk,,0.798761875,left,0,0.26224238,19,1
101,3,15,55,IA25_G5.bmp,IA25_G5.bmp,IA25.bmp,0,safe,,0.804328356,left,0,0.256980182,19,1
101,3,16,56,IA75_G30.bmp,IA75_G30.bmp,IA75.bmp,1,risk,,0.711778679,left,0,0.298814089,19,1
101,3,17,57,IA25_L20.bmp,IA25_L20.bmp,IA25.bmp,0,safe,,0.544903232,left,0,0.152935986,19,1
101,3,18,58,IA50_L10.bmp,IA50_L10.bmp,IA50.bmp,0,safe,,1.223014142,right,1,0.217873088,19,1
101,3,19,59,IA25_L15.bmp,IA25_L15.bmp,IA25.bmp,1,risk,,1.19197122,left,0,0.437693422,19,1
101,3,20,60,IA20_10_G95p.bmp,IA20_10_G95p.bmp,IA20.bmp,1,risk,,1.444500427,left,0,0.287547333,19,1
101,4,1,61,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,left,0.790699131,left,0,0.316037653,19,1
101,4,2,62,IA20_10_G95p.bmp,IA20_10_G95p.bmp,IA20.bmp,1,risk,,0.610135555,left,0,0.080730857,19,1
101,4,3,63,IA100_G60.bmp,IA100_G60.bmp,IA100.bmp,0,safe,,0.422820423,left,0,1.005229934,19,1
101,4,4,64,IA25_L10.bmp,IA25_L10.bmp,IA25.bmp,1,risk,,1.16402985,left,0,0.354455401,19,1
101,4,5,65,IA100_G80.bmp,IA100_G80.bmp,IA100.bmp,1,risk,,1.152547715,left,0,0.161102362,19,1
101,4,6,66,IA25_L5.bmp,IA25_L5.bmp,IA25.bmp,0,safe,,0.591199352,right,1,0.525661128,19,1
101,4,7,67,IA50_G40.bmp,IA50_G40.bmp,IA50.bmp,0,safe,,0.683751349,right,1,0.655502031,19,1
101,4,8,68,IA100_L40.bmp,IA100_L40.bmp,IA100.bmp,1,risk,,1.254314499,right,1,0.489174299,19,1
101,4,9,69,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,1.759273738,left,0,0.324818101,19,1
101,4,10,70,IA25_G5.bmp,IA25_G5.bmp,IA25.bmp,0,safe,,0.939618664,left,0,0.250531725,19,1
101,4,11,71,IA50_L40.bmp,IA50_L40.bmp,IA50.bmp,0,safe,,0.569389485,left,0,0.265394314,19,1
101,4,12,72,IA75_L15.bmp,IA75_L15.bmp,IA75.bmp,1,risk,,0.383481618,right,1,0.184746082,19,1
101,4,13,73,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.502835583,right,1,0.193680096,19,1
101,4,14,74,IA25_L15.bmp,IA25_L15.bmp,IA25.bmp,1,risk,,0.576503305,left,0,0.263785686,19,1
101,4,15,75,IA75_L45.bmp,IA75_L45.bmp,IA75.bmp,0,safe,,0.693884813,left,0,0.256214677,19,1
101,4,16,76,IA25_G20.bmp,IA25_G20.bmp,IA25.bmp,0,safe,,0.934296916,left,0,1.096095921,19,1
101,4,17,77,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,1.246199965,left,0,0.482466184,19,1
101,4,18,78,IA100_G40.bmp,IA100_G40.bmp,IA100.bmp,1,risk,,0.761292391,left,0,0.490200876,19,1
101,4,19,79,IA25_L20.bmp,IA25_L20.bmp,IA25.bmp,0,safe,,0.488298215,left,0,0.163851771,19,1
101,4,20,80,IA75_G60.bmp,IA75_G60.bmp,IA75.bmp,1,risk,,0.313948692,right,1,0.365201857,19,1
101,5,1,81,IA50_G40.bmp,IA50_G40.bmp,IA50.bmp,0,safe,left,1.187284219,right,1,0.20829065,19,1
101,5,2,82,IA25_L5.bmp,IA25_L5.bmp,IA25.bmp,0,safe,,0.287083657,right,1,0.16251929,19,1
101,5,3,83,IA40_20_G95p.bmp,IA40_20_G95p.bmp,IA40.bmp,0,safe,,0.433285729,left,0,0.141541192,19,1
101,5,4,84,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.276366167,right,1,0.313030491,19,1
101,5,5,85,IA50_L10.bmp,IA50_L10.bmp,IA50.bmp,0,safe,,0.391856208,right,1,0.367539756,19,1
101,5,6,86,IA25_L15.bmp,IA25_L15.bmp,IA25.bmp,1,risk,,0.725641982,left,0,0.229838234,19,1
101,5,7,87,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,0.92393219,left,0,0.245705543,19,1
101,5,8,88,IA40_20_L95p.bmp,IA40_20_L95p.bmp,IA40.bmp,1,risk,,0.796529476,right,1,0.116019461,19,1
101,5,9,89,IA20_10_G95p.bmp,IA20_10_G95p.bmp,IA20.bmp,1,risk,,1.090828801,left,0,0.196805999,19,1
101,5,10,90,IA110_55_G95p.bmp,IA110_55_G95p.bmp,IA110.bmp,1,risk,,0.978824873,left,0,0.267263433,19,1
101,5,11,91,IA25_G15.bmp,IA25_G15.bmp,IA25.bmp,1,risk,,0.561362636,left,0,0.22608644,19,1
101,5,12,92,IA75_G30.bmp,IA75_G30.bmp,IA75.bmp,1,risk,,0.58419109,left,0,0.184894618,19,1
101,5,13,93,IA80_40_G95p.bmp,IA80_40_G95p.bmp,IA80.bmp,1,risk,,0.398993237,left,0,0.127542284,19,1
101,5,14,94,IA100_L80.bmp,IA100_L80.bmp,IA100.bmp,1,risk,,0.341635548,left,0,0.298309064,19,1
101,5,15,95,IA50_L40.bmp,IA50_L40.bmp,IA50.bmp,0,safe,,0.480406704,left,0,0.075259677,19,1
101,5,16,96,IA75_L45.bmp,IA75_L45.bmp,IA75.bmp,0,safe,,0.738071497,left,0,0.266965586,19,1
101,5,17,97,IA25_L10.bmp,IA25_L10.bmp,IA25.bmp,1,risk,,1.297069545,right,1,0.530511735,19,1
101,5,18,98,IA75_G45.bmp,IA75_G45.bmp,IA75.bmp,0,safe,,0.968601017,left,0,0.28898026,19,1
101,5,19,99,IA100_L20.bmp,IA100_L20.bmp,IA100.bmp,1,risk,,0.319086964,right,1,0.041761354,19,1
101,5,20,100,IA75_G15.bmp,IA75_G15.bmp,IA75.bmp,1,risk,,1.272570396,left,0,0.19543177,19,1
101,6,1,101,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,left,1.229516453,left,0,0.089796582,19,1
101,6,2,102,IA50_G20.bmp,IA50_G20.bmp,IA50.bmp,1,risk,,0.463875358,left,0,0.572878856,19,1
101,6,3,103,IA25_L5.bmp,IA25_L5.bmp,IA25.bmp,0,safe,,0.859694148,right,1,0.174906354,19,1
101,6,4,104,IA50_G30.bmp,IA50_G30.bmp,IA50.bmp,1,risk,,0.78971112,left,0,0.117186422,19,1
101,6,5,105,IA100_G40.bmp,IA100_G40.bmp,IA100.bmp,1,risk,,0.52329469,left,0,0.118147611,19,1
101,6,6,106,IA75_L15.bmp,IA75_L15.bmp,IA75.bmp,1,risk,,0.40424596,right,1,0.019364858,19,1
101,6,7,107,IA25_L10.bmp,IA25_L10.bmp,IA25.bmp,1,risk,,0.593461698,left,0,0.06546623,19,1
101,6,8,108,IA75_G30.bmp,IA75_G30.bmp,IA75.bmp,1,risk,,0.351564773,left,0,0.041544666,19,1
101,6,9,109,IA100_L20.bmp,IA100_L20.bmp,IA100.bmp,1,risk,,0.624328982,left,0,0.085502233,19,1
101,6,10,110,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,0.811596487,left,0,0.49836463,19,1
101,6,11,111,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,0.528471562,left,0,0.379177824,19,1
101,6,12,112,IA75_G15.bmp,IA75_G15.bmp,IA75.bmp,1,risk,,0.593999194,left,0,0.297267757,19,1
101,6,13,113,IA25_L15.bmp,IA25_L15.bmp,IA25.bmp,1,risk,,1.00739841,left,0,0.356928605,19,1
101,6,14,114,IA110_55_G95p.bmp,IA110_55_G95p.bmp,IA110.bmp,1,risk,,0.859026155,left,0,0.191700731,19,1
101,6,15,115,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.565752587,right,1,0.062479096,19,1
101,6,16,116,IA100_G80.bmp,IA100_G80.bmp,IA100.bmp,1,risk,,0.27657885,right,1,0.042106898,19,1
101,6,17,117,IA75_G45.bmp,IA75_G45.bmp,IA75.bmp,0,safe,,0.496914507,left,0,0.117204105,19,1
101,6,18,118,IA50_L30.bmp,IA50_L30.bmp,IA50.bmp,1,risk,,0.363268744,left,0,0.06709748,19,1
101,6,19,119,IA100_L60.bmp,IA100_L60.bmp,IA100.bmp,0,safe,,0.793909402,left,0,0.231972181,19,1
101,6,20,120,IA50_L40.bmp,IA50_L40.bmp,IA50.bmp,0,safe,,0.718061408,left,0,0.071684126,19,1
101,7,1,121,IA110_55_G95p.bmp,IA110_55_G95p.bmp,IA110.bmp,1,risk,left,0.314848262,left,0,0.638231006,19,1
101,7,2,122,IA75_L45.bmp,IA75_L45.bmp,IA75.bmp,0,safe,,0.349036982,left,0,0.055001101,19,1
101,7,3,123,IA75_G15.bmp,IA75_G15.bmp,IA75.bmp,1,risk,,0.48510122,left,0,0.241376028,19,1
101,7,4,124,IA75_G60.bmp,IA75_G60.bmp,IA75.bmp,1,risk,,0.600175536,left,0,0.215439624,19,1
101,7,5,125,IA110_55_L95p.bmp,IA110_55_L95p.bmp,IA110.bmp,1,risk,,0.398281151,right,1,0.086822286,19,1
101,7,6,126,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,0.788924347,left,0,0.268410933,19,1
101,7,7,127,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,0.491223034,left,0,0.135484014,19,1
101,7,8,128,IA25_L5.bmp,IA25_L5.bmp,IA25.bmp,0,safe,,0.5263001,right,1,0.135767804,19,1
101,7,9,129,IA100_G60.bmp,IA100_G60.bmp,IA100.bmp,0,safe,,0.534543876,right,1,0.064675294,19,1
101,7,10,130,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,,0.286777806,left,0,0.538158172,19,1
101,7,11,131,IA20_10_G95p.bmp,IA20_10_G95p.bmp,IA20.bmp,1,risk,,0.456973024,left,0,0.173951599,19,1
101,7,12,132,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.468767324,right,1,0.169042838,19,1
101,7,13,133,IA75_L60.bmp,IA75_L60.bmp,IA75.bmp,1,risk,,0.983838292,left,0,0.311512109,19,1
101,7,14,134,IA50_L30.bmp,IA50_L30.bmp,IA50.bmp,1,risk,,1.190321464,left,0,0.23606054,19,1
101,7,15,135,IA25_G10.bmp,IA25_G10.bmp,IA25.bmp,1,risk,,0.578866735,left,0,0.106851057,19,1
101,7,16,136,IA40_20_G95p.bmp,IA40_20_G95p.bmp,IA40.bmp,0,safe,,0.425666072,left,0,0.176065974,19,1
101,7,17,137,IA100_L40.bmp,IA100_L40.bmp,IA100.bmp,1,risk,,0.742874562,right,1,0.600358348,19,1
101,7,18,138,IA50_G40.bmp,IA50_G40.bmp,IA50.bmp,0,safe,,0.494471406,right,1,0.113308246,19,1
101,7,19,139,IA50_L10.bmp,IA50_L10.bmp,IA50.bmp,0,safe,,0.368135792,right,1,0.073373802,19,1
101,7,20,140,IA100_L20.bmp,IA100_L20.bmp,IA100.bmp,1,risk,,0.400191966,right,1,0.078585586,19,1
101,8,1,141,IA75_G30.bmp,IA75_G30.bmp,IA75.bmp,1,risk,right,1.985236661,left,0,1.126132265,19,1
101,8,2,142,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,1.452933116,left,0,0.135936801,19,1
101,8,3,143,IA50_L10.bmp,IA50_L10.bmp,IA50.bmp,0,safe,,0.830820977,right,1,0.124148768,19,1
101,8,4,144,IA25_L15.bmp,IA25_L15.bmp,IA25.bmp,1,risk,,0.426252883,left,0,0.103220703,19,1
101,8,5,145,IA75_G15.bmp,IA75_G15.bmp,IA75.bmp,1,risk,,0.558038198,left,0,0.167475692,19,1
101,8,6,146,IA25_L10.bmp,IA25_L10.bmp,IA25.bmp,1,risk,,0.894288699,right,1,0.040788063,19,1
101,8,7,147,IA40_20_L95p.bmp,IA40_20_L95p.bmp,IA40.bmp,1,risk,,0.407595093,right,1,0.255423135,19,1
101,8,8,148,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,,0.333522789,left,0,0.080193541,19,1
101,8,9,149,IA20_10_L95p.bmp,IA20_10_L95p.bmp,IA20.bmp,0,safe,,0.44699367,right,1,0.227982707,19,1
101,8,10,150,IA100_G40.bmp,IA100_G40.bmp,IA100.bmp,1,risk,,0.682796583,left,0,0.02325033,19,1
101,8,11,151,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.326061131,right,1,0.52800601,19,1
101,8,12,152,IA50_L30.bmp,IA50_L30.bmp,IA50.bmp,1,risk,,0.966833022,left,0,0.045785923,19,1
101,8,13,153,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,0.699891834,left,0,0.496922853,19,1
101,8,14,154,IA80_40_G95p.bmp,IA80_40_G95p.bmp,IA80.bmp,1,risk,,1.015746331,left,0,0.260565186,19,1
101,8,15,155,IA110_55_L95p.bmp,IA110_55_L95p.bmp,IA110.bmp,1,risk,,0.602654471,right,1,0.233946873,19,1
101,8,16,156,IA25_G5.bmp,IA25_G5.bmp,IA25.bmp,0,safe,,0.696069122,left,0,0.067097777,19,1
101,8,17,157,IA25_L5.bmp,IA25_L5.bmp,IA25.bmp,0,safe,,0.769198759,right,1,0.080669622,19,1
101,8,18,158,IA75_G45.bmp,IA75_G45.bmp,IA75.bmp,0,safe,,0.743485908,left,0,0.05567918,19,1
101,8,19,159,IA25_L20.bmp,IA25_L20.bmp,IA25.bmp,0,safe,,0.973772055,left,0,0.220730001,19,1
101,8,20,160,IA50_L40.bmp,IA50_L40.bmp,IA50.bmp,0,safe,,0.522823573,left,0,0.180963916,19,1
101,9,1,161,IA50_L10.bmp,IA50_L10.bmp,IA50.bmp,0,safe,right,0.296371771,right,1,0.093167261,19,1
101,9,2,162,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,0.267263952,left,0,0.065498277,19,1
101,9,3,163,IA50_G40.bmp,IA50_G40.bmp,IA50.bmp,0,safe,,0.279599529,right,1,0.467685023,19,1
101,9,4,164,IA40_20_L95p.bmp,IA40_20_L95p.bmp,IA40.bmp,1,risk,,0.329783926,right,1,0.236460139,19,1
101,9,5,165,IA100_G60.bmp,IA100_G60.bmp,IA100.bmp,0,safe,,0.475282398,left,0,0.711548055,19,1
101,9,6,166,IA75_L45.bmp,IA75_L45.bmp,IA75.bmp,0,safe,,1.774357578,left,0,0.339196436,19,1
101,9,7,167,IA20_10_L95p.bmp,IA20_10_L95p.bmp,IA20.bmp,0,safe,,0.362006286,right,1,0.195962442,19,1
101,9,8,168,IA100_L60.bmp,IA100_L60.bmp,IA100.bmp,0,safe,,1.410775504,left,0,0.487267026,19,1
101,9,9,169,IA25_L15.bmp,IA25_L15.bmp,IA25.bmp,1,risk,,0.67735012,left,0,0.223688907,19,1
101,9,10,170,IA75_L60.bmp,IA75_L60.bmp,IA75.bmp,1,risk,,0.437778222,left,0,0.140221457,19,1
101,9,11,171,IA25_G10.bmp,IA25_G10.bmp,IA25.bmp,1,risk,,0.370999091,left,0,0.219540814,19,1
101,9,12,172,IA100_L40.bmp,IA100_L40.bmp,IA100.bmp,1,risk,,0.617645354,right,1,0.054801043,19,1
101,9,13,173,IA75_L15.bmp,IA75_L15.bmp,IA75.bmp,1,risk,,0.693603709,left,0,0.105356245,19,1
101,9,14,174,IA25_L10.bmp,IA25_L10.bmp,IA25.bmp,1,risk,,0.432148497,right,1,0.181867489,19,1
101,9,15,175,IA75_G60.bmp,IA75_G60.bmp,IA75.bmp,1,risk,,0.323963269,right,1,0.245208643,19,1
101,9,16,176,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.27602218,right,1,0.279396293,19,1
101,9,17,177,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,0.646200253,right,1,0.311813173,19,1
101,9,18,178,IA50_G20.bmp,IA50_G20.bmp,IA50.bmp,1,risk,,0.374632341,left,0,0.183888779,19,1
101,9,19,179,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,,0.381975916,left,0,0.118511891,19,1
101,9,20,180,IA75_L30.bmp,IA75_L30.bmp,IA75.bmp,0,safe,,0.492656105,right,1,0.16819008,19,1
101,10,1,181,IA25_L5.bmp,IA25_L5.bmp,IA25.bmp,0,safe,left,0.955029958,right,1,0.218691774,19,1
101,10,2,182,IA100_L80.bmp,IA100_L80.bmp,IA100.bmp,1,risk,,0.552803556,left,0,0.122936864,19,1
101,10,3,183,IA20_10_G95p.bmp,IA20_10_G95p.bmp,IA20.bmp,1,risk,,0.409037476,left,0,0.096152141,19,1
101,10,4,184,IA75_G60.bmp,IA75_G60.bmp,IA75.bmp,1,risk,,2.206231906,right,1,0.632608851,19,1
101,10,5,185,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,0.33471776,right,1,0.168672406,19,1
101,10,6,186,IA25_L10.bmp,IA25_L10.bmp,IA25.bmp,1,risk,,0.510653238,right,1,0.048927055,19,1
101,10,7,187,IA110_55_G95p.bmp,IA110_55_G95p.bmp,IA110.bmp,1,risk,,0.519017709,left,0,0.178569353,19,1
101,10,8,188,IA50_G20.bmp,IA50_G20.bmp,IA50.bmp,1,risk,,0.481384464,left,0,0.174370942,19,1
101,10,9,189,IA100_G40.bmp,IA100_G40.bmp,IA100.bmp,1,risk,,0.341187273,left,0,0.175846692,19,1
101,10,10,190,IA75_G15.bmp,IA75_G15.bmp,IA75.bmp,1,risk,,0.838673877,left,0,0.332729962,19,1
101,10,11,191,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,0.338839254,right,1,0.077501709,19,1
101,10,12,192,IA25_L15.bmp,IA25_L15.bmp,IA25.bmp,1,risk,,0.252306469,left,0,0.617024311,19,1
101,10,13,193,IA75_G45.bmp,IA75_G45.bmp,IA75.bmp,0,safe,,0.551778146,left,0,0.223812413,19,1
101,10,14,194,IA25_G5.bmp,IA25_G5.bmp,IA25.bmp,0,safe,,0.525907841,left,0,0.128043152,19,1
101,10,15,195,IA100_L60.bmp,IA100_L60.bmp,IA100.bmp,0,safe,,0.894852894,left,0,0.217364784,19,1
101,10,16,196,IA50_L10.bmp,IA50_L10.bmp,IA50.bmp,0,safe,,0.319465141,right,1,0.162849566,19,1
101,10,17,197,IA75_L45.bmp,IA75_L45.bmp,IA75.bmp,0,safe,,0.512944241,right,1,0.059805078,19,1
101,10,18,198,IA100_G20.bmp,IA100_G20.bmp,IA100.bmp,1,risk,,1.377908137,left,0,0.176512228,19,1
101,10,19,199,IA25_G15.bmp,IA25_G15.bmp,IA25.bmp,1,risk,,0.518611458,right,1,0.264018656,19,1
101,10,20,200,IA75_L15.bmp,IA75_L15.bmp,IA75.bmp,1,risk,,0.286139655,right,1,0.186271672,19,1
107,1,1,1,IA50_G30.bmp,IA50_G30.bmp,IA50.bmp,1,risk,left,0.774734965,left,0,795.0835405,18,1
107,1,2,2,IA25_G10.bmp,IA25_G10.bmp,IA25.bmp,1,risk,,0.474155064,right,1,805.160118,18,1
107,1,3,3,IA50_G10.bmp,IA50_G10.bmp,IA50.bmp,0,safe,,0.443276895,left,0,815.8550023,18,1
107,1,4,4,IA100_G60.bmp,IA100_G60.bmp,IA100.bmp,0,safe,,0.381982229,left,0,825.9482811,18,1
107,1,5,5,IA50_L20.bmp,IA50_L20.bmp,IA50.bmp,1,risk,,0.951758046,left,0,836.6264637,18,1
107,1,6,6,IA75_L45.bmp,IA75_L45.bmp,IA75.bmp,0,safe,,,None,NA,849.3433201,18,1
107,1,7,7,IA20_10_L95p.bmp,IA20_10_L95p.bmp,IA20.bmp,0,safe,,1.142958201,right,1,861.4753187,18,1
107,1,8,8,IA50_G40.bmp,IA50_G40.bmp,IA50.bmp,0,safe,,0.352283184,left,0,873.1059954,18,1
107,1,9,9,IA100_G40.bmp,IA100_G40.bmp,IA100.bmp,1,risk,,1.165158806,right,1,884.6531153,18,1
107,1,10,10,IA80_40_L95p.bmp,IA80_40_L95p.bmp,IA80.bmp,0,safe,,1.074208916,right,1,896.3840674,18,1
107,1,11,11,IA50_L10.bmp,IA50_L10.bmp,IA50.bmp,0,safe,,1.119805172,left,0,907.9144664,18,1
107,1,12,12,IA40_20_G95p.bmp,IA40_20_G95p.bmp,IA40.bmp,0,safe,,0.668521857,left,0,921.5337299,18,1
