,Choice,Choice2,Amount,AdviceVar1,GambleAdviceNum,GambleAdviceType,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,instructions.started,instructions.stopped,space.keys,space.rt,space.started,space.stopped,chooseInst.started,chooseInst.stopped,Ad1.started,Ad1.stopped,Ad2.started,Ad2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Ad1pic.started,Ad1pic.stopped,Ad2pic.started,Ad2pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,iSi.started,iSi.stopped,receiveMoneyPicture.started,receiveMoneyPicture.stopped,ISI2.started,ISI2.stopped,ChoicePic.started,ChoicePic.stopped,response.keys,response.started,response.stopped,yesNo.started,yesNo.stopped,ask.started,ask.stopped,getAdv.started,getAdv.stopped,textForCode.started,textForCode.stopped,blank.started,blank.stopped,ChoicePic2.started,ChoicePic2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,checkL1.started,checkL1.stopped,checkR1.started,checkR1.stopped,response.rt,EndPrac.started,EndPrac.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,endText.started,endText.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,age,gender,date,expName,psychopyVersion,frameRate
11,Pictures/IA75_L15.bmp,Pictures/IA75_L15.bmp,75,"Trust me, gamble!""""",1,risk,,,,,0,0,0,0,0,0,0,17,,,,,,,,,,,,,899.9976434,None,899.9976434,None,899.9976434,None,0,5.804187744,899.9976434,None,899.9976434,None,899.9976434,None,return,7.315985802,899.9976434,None,907.3670691,None,909.4057703,910.9097319,910.8930246,None,912.4304087,None,0,914.3855616,None,914.3855616,None,914.3855616,None,None,None,None,None,915.1709658,None,915.1709658,None,1,0.390852478,915.1709658,None,None,None,915.6054407,917.1762478,0.616258605,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
12,Pictures/IA25_G20.bmp,Pictures/IA25_G20.bmp,25,"I wouldn't gamble for this one. """"",0,safe,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.1929579,None,919.2316658,920.7523455,920.7356334,None,922.289727,None,0,924.2448819,None,924.2448819,None,924.2448819,None,None,None,None,None,924.8130462,None,924.8130462,None,1,0.348775718,924.8130462,None,None,None,925.1973877,926.8016157,0.3969433,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
13,Pictures/IA100_L20.bmp,Pictures/IA100_L20.bmp,100,"Try to win as much money as you can, gamble!""""",1,risk,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.8183266,None,928.8570348,930.3777076,930.3609994,None,931.9150967,None,0,933.8702485,None,933.8702485,None,933.8702485,None,None,None,None,None,934.4718351,None,934.4718351,None,1,0.337997724,934.4718351,None,None,None,934.8561764,936.4603999,0.427579472,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
14,Pictures/IA75_L45.bmp,Pictures/IA75_L45.bmp,75,"Don't gamble for this one, play it safe.""""",0,safe,,,,,0,0,0,0,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.4771164,None,938.4991162,940.0197874,940.0030809,None,941.5738847,None,1,943.5290389,None,943.5290389,None,943.5290389,None,944.8826053,None,944.8826053,945.8852461,946.9881645,None,946.9881645,None,0,0.957658631,946.9881645,None,947.9907958,None,None,None,1.216781007,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
15,Pictures/IA20_10_G95p.bmp,Pictures/IA20_10_G95p.bmp,20,"Take a leap, I think you should gamble.""""",1,risk,,,,,0,0,0,0,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.0101474,None,951.048855,952.5528177,952.536111,None,954.1069171,None,0,956.0620717,None,956.0620717,None,956.0620717,None,None,None,None,None,956.8307624,None,956.8307624,None,0,0.283056978,956.8307624,None,957.1482755,958.8193349,None,None,0.587758245,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
16,Pictures/IA25_L5.bmp,Pictures/IA25_L5.bmp,25,"It would be smarter to choose the safe option.""""",0,safe,,,,,0,0,0,0,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958.8360466,None,960.8580396,962.378721,962.3620087,None,963.9328183,None,0,965.8879695,None,965.8879695,None,965.8879695,None,None,None,None,None,966.7736457,None,966.7736457,None,0,0.324175884,966.7736457,None,967.1412795,968.7622066,None,None,0.681856549,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
17,Pictures/IA100_G60.bmp,Pictures/IA100_G60.bmp,100,"Be cautious, don't gamble for this one.""""",0,safe,,,,,0,0,0,0,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.7789191,None,970.8009163,972.3215895,972.3048824,None,973.892405,None,0,975.8308421,None,975.8308421,None,975.8308421,None,None,None,None,None,976.7666403,None,976.7666403,None,1,0.491181544,976.7666403,None,None,None,977.301381,978.7719221,0.762976903,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
18,Pictures/IA75_G45.bmp,Pictures/IA75_G45.bmp,75,"Don't gamble for this one.""""",0,safe,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.7886323,None,980.8106319,982.3313047,982.3145974,None,983.8854032,None,1,985.8405582,None,985.8405582,None,985.8405582,None,986.9267575,None,986.9267575,987.929398,989.0323033,None,989.0323033,None,0,0.601517183,989.0323033,None,989.6673059,991.0375864,None,None,0.985270265,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
19,Pictures/IA50_L20.bmp,Pictures/IA50_L20.bmp,50,"Certainty is boring, take a risk!""""",1,risk,,,,,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.0542969,None,993.0930019,994.6136765,994.5969686,None,996.1343541,None,0,998.1062198,None,998.1062198,None,998.1062198,None,None,None,None,None,999.2258417,None,999.2258417,None,0,0.375972547,999.2258417,None,999.6436013,1001.214425,None,None,0.951599827,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
20,Pictures/IA100_G40.bmp,Pictures/IA100_G40.bmp,100,"Try your luck and gamble!""""",1,risk,,,,,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.23112,None,1003.253121,1004.77379,1004.757083,None,1006.294466,None,0,1008.283044,None,1008.283044,None,1008.283044,None,None,None,None,None,1009.16871,None,1009.16871,None,0,0.297109812,1009.16871,None,1009.502921,1011.173993,None,None,0.718788516,,,,,,,,,,,,,999,1,9,1,2019_Dec_03_1004,Test,3.2.4,59.84044777
